vegID,birdID,broodID,age(d),age_class,Use,avgdbh(cm),maxdbh(cm),basal_area(m^2/ha),canopy_ht(m),sapling_cover(%),%shrub_cover,slope,aspect,beers' aspect,%understory,%midstory,%overstory,dist_canopygap(m),dist_water(m),,Use,"1 = used, 2  = random available, 0 = nest"
FR3d5,5,7,5,2,1,48.4,70.7,22.96,0.5,0,4,4,10,1.82,76.2,38.1,81.0,11,2921,,,
FPd6,3,6,6,2,1,24.3,34.9,9.18,20,98,5,12,10,1.82,85.7,95.2,9.5,15,3098,,,
FPd3,3,6,3,2,1,44.7,75.5,18.37,23,55,4,12,94,1.66,71.4,81.0,14.3,7,3320,,,
FRd3,7,9,3,2,1,31.9,33.4,4.59,23.5,50,15,29,108,1.45,85.7,52.4,19.0,6,36,,,
FRd4,7,9,4,2,1,31.9,33.4,4.59,23.5,50,20,36,126,1.16,76.2,61.9,52.4,7,41,,,
Nd3,15,16,3,2,1,37.3,55.6,22.96,25,25,15,13,190,0.18,23.8,19.0,76.2,3,3127,,,
FPd5,3,6,5,2,1,59.5,67.8,9.18,25,90,10,8,130,1.09,100.0,100.0,47.6,10,3143,,,
WWd3,17,16,3,2,1,42.1,73.6,18.37,26,24,20,11,150,0.74,19.0,23.8,76.2,4,3124,,,
FRd5,7,9,5,2,1,36.3,50.3,22.96,26,0,5,23,130,1.09,61.9,76.2,90.5,8,68,,,
Nd5,15,16,5,2,1,50.3,91.6,25.25,26,0,8,18,70,1.91,4.8,19.0,100.0,12,3301,,,
SGd3,19,18,3,2,1,37.7,67.7,34.44,26.2,3,0,23,13,1.85,23.8,61.9,95.2,30,531,,,
SGd5,19,18,5,2,1,42.2,63.1,43.62,26.2,5,0,21,68,1.92,14.3,90.5,100.0,20,545,,,
PCd6,14,15,6,2,1,28.3,73.2,29.84,26.2,20,2,20,143,0.86,71.4,85.7,85.7,9,191,,,
FRd6,7,9,6,2,1,34.8,53.1,16.07,27,0,0,25,96,1.63,38.1,95.2,95.2,13,81,,,
FRJd6,4,7,6,2,1,60.8,74.3,18.37,27,50,10,7,40,2,33.3,38.1,100.0,2,2946,,,
FPd4,3,6,4,2,1,37.3,60.9,18.37,27.3,65,20,21,66,1.93,76.2,85.7,71.4,10,3280,,,
FRJd4,4,7,4,2,1,32,57.4,18.37,27.5,45,20,2,46,2,76.2,52.4,81.0,12,2873,,,
FR3d4,5,7,4,2,1,47.7,79.8,27.55,28,75,4,10,52,1.99,81.0,85.7,95.2,12,2872,,,
Md4,16,16,4,2,1,35,54.5,25.25,28.5,4,20,3,160,0.58,33.3,61.9,90.5,2,3197,,,
FRJd5,4,7,5,2,1,51.8,78.6,41.32,28.5,0,2,13,45,2,71.4,66.7,100.0,8,2921,,,
WWd6,17,16,6,2,1,50.6,64.4,20.66,28.5,8,3,5,140,0.91,14.3,19.0,81.0,5,3178,,,
FSued3,6,8,3,2,1,40.4,61.6,27.55,28.8,45,0,3,330,1.26,66.7,52.4,100.0,10,4053,,,
Cd5,12,14,5,2,1,45.5,77,34.44,30,2,80,28,88,1.73,28.6,76.2,100.0,10,89,,,
BBd6,11,13,6,2,1,51.3,66.1,13.77,30,70,20,14,59,1.97,47.6,14.3,71.4,7,783,,,
Cd6,12,14,6,2,1,52.2,77,22.96,30,0,70,34,93,1.67,23.8,66.7,100.0,5,112,,,
Mad6,13,14,6,2,1,38.7,77,27.55,30,0,20,28,95,1.64,42.9,90.5,100.0,11,100,,,
PCd3,14,15,3,2,1,27.7,48.8,13.77,31.7,40,3,18,148,0.78,61.9,95.2,76.2,8,159,,,
PCd4,14,15,4,2,1,29.5,50.8,36.73,31.7,0,0,35,143,0.86,42.9,85.7,95.2,12,171,,,
PCd5,14,15,5,2,1,28.2,42.6,29.84,31.7,25,2,35,143,0.86,76.2,85.7,100.0,11,174,,,
WWd5,17,16,5,2,1,46.3,74,18.37,31.8,15,50,19,67,1.93,14.3,28.6,85.7,3,3171,,,
SGd6,19,18,6,2,1,39.7,63.1,36.73,32,0,0,21,68,1.92,19.0,76.2,95.2,7,545,,,
BBd3,11,13,3,2,1,65.2,73.7,11.48,32.3,55,20,14,76,1.86,57.1,4.8,61.9,0,707,,,
Cd3,12,14,3,2,1,44.2,62.5,29.84,32.5,0,16,37,97,1.62,23.8,57.1,100.0,20,139,,,
FRJd3,4,7,3,2,1,49.3,67.6,36.73,32.5,28,20,7,70,1.91,66.7,81.0,100.0,20,2877,,,
Mad5,13,14,5,2,1,44,71.2,29.84,32.5,0,20,32,93,1.67,19.0,66.7,100.0,25,92,,,
Cd4,12,14,4,2,1,44.6,58.8,22.96,32.8,40,67,31,95,1.64,52.4,85.7,85.7,15,129,,,
Mad3,13,14,3,2,1,41.5,71.5,22.96,33.8,90,50,34,95,1.64,57.1,95.2,85.7,15,142,,,
FR3d6,5,7,6,2,1,56,79.7,32.14,34,0,2,4,40,2,42.9,90.5,100.0,25,2946,,,
Mad4,13,14,4,2,1,46.1,85.5,22.96,35,0,9,36,90,1.71,47.6,66.7,100.0,14,123,,,
WWd4,17,16,4,2,1,51.4,74.9,20.66,35,40,49,10,77,1.85,33.3,14.3,57.1,1,3137,,,
FR3d3,5,7,3,2,1,41.5,75.9,41.32,36,6,10,10,80,1.82,38.1,81.0,100.0,25,2878,,,
Md6,16,16,6,2,1,65,79.3,18.37,36.5,15,85,11,75,1.87,28.6,0.0,71.4,4,2942,,,
SGd4,19,18,4,2,1,45.7,63.3,34.44,37,3,7,23,53,1.99,14.3,66.7,90.5,6,502,,,
BBd4,11,13,4,2,1,58.1,71.2,16.07,37.7,0,20,13,71,1.9,33.3,23.8,81.0,3,623,,,
BBd5,11,13,5,2,1,51.8,67.1,11.48,37.7,15,85,13,67,1.93,47.6,42.9,76.2,5,728,,,
FRJd12,4,7,12,3,1,58.1,64.8,18.37,22,0,10,2,10,1.82,33.3,42.9,52.4,4,2453,,,
