Presence_absence,TreeHigh,DBH,Canopy,BamboAbun,TreeSpeciesRichness
1,12.5,225,38,4.5805757,3
1,15.83,268,38,7.14037144,4.242640687
1,21.2,301,63,6.319134386,2.5
1,14.25,135,38,8.066313432,2.309401077
1,16.33,317,38,11.74555524,4.242640687
1,17.5,330,63,6.105842959,3
1,16.33333,215,63,2.775781252,4.242640687
1,19.166,432,63,7.612919843,4.242640687
1,20,172,38,8.697644787,2.121320344
1,21,262,12.5,8.856513223,2.828427125
1,19,249,38,19.80639405,3.535533906
1,20.2,290,63,6.250580524,3.535533906
1,12.42,245,63,5.560395657,3.5
1,20.33,403,63,12.79891153,4.242640687
1,11.85,363,63,17.58260559,4.949747468
1,20,535,38,3.993090361,5.656854249
1,28,340,63,15.19778866,5
1,16.5,214,38,18.03820561,2.828427125
1,13.875,344,63,4.68845692,4.618802154
1,14.14,221,63,2.775781252,4.041451884
1,23.16,355,38,10.05199057,3.464101615
1,28.2,404,38,23.16870899,2.886751346
1,17.4,295,38,8.278942494,2.886751346
1,15.5,265,38,14.49786162,2.828427125
1,15,348,38,13.60135959,4.041451884
1,23.8,303,38,20.73971622,2.886751346
1,16.5,308,38,11.25041918,2.828427125
1,13.8,230,63,11.74555524,2.886751346
1,24.75,294,38,22.91438724,2.828427125
1,19.8,355,38,0,0
1,19.8,355,38,10.25327772,2.886751346
1,9.4,214,38,13.2725047,3.535533906
1,7,60,38,0,3
1,16.2,244,38,8.062067788,3.535533906
1,20.5,236,38,7.400453347,2.828427125
1,20.5,304,38,8.902796188,4
1,20.5,312,38,11.88379678,4
1,24.83,426,63,1.526858567,4.242640687
1,11,440,63,6.241955969,1.732050808
1,17.667,1040,63,40.86469795,1.732050808
1,17.5,380,63,16.54849544,1.414213562
1,10,240,63,36.5495792,1.414213562
1,10,100,63,32.12959196,1
1,19,890,63,19.07914235,1.732050808
1,11.33,230,63,27.71037726,1.732050808
1,5.5,100,38,6.15595988,1.414213562
1,15.5,370,50.5,0,1.414213562
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,9,348,63,0,1.732050808
1,5.333,530,63,0,1.732050808
1,22.5,700,63,33.28782533,1.414213562
1,25,400,63,19.19433422,1
1,12.667,540,63,10.59253113,1.732050808
1,6.333,160,38,8.697644787,1.732050808
1,12,541,63,14.98703543,2.309401077
1,11.4,662,63,0.699131473,2.236067977
1,10.6667,462,63,5.750898959,3
1,11.6,664,63,0.486582704,2.236067977
1,10.4,506,63,0.486582704,2.236067977
1,11,491,63,16.25532728,2
1,14,488,63,0,0
1,15.6,491,63,0,2.886751346
1,16.6667,239,63,0.921193219,2.121320344
1,14,395,63,0,0
1,13.6667,399,63,12.82267225,2.683281573
1,12.333,339,63,10.97087709,1.732050808
1,13.25,514,63,54.06552185,2
1,12.16667,790,63,44.98351374,2.449489743
1,13.6,547,63,13.94533582,2.236067977
1,11.857,621,63,0,0
1,11.5,401,63,1.579783597,2
1,11.333,232,63,128.1382164,2.121320344
1,8.75,473,63,47.4439232,2
1,15,150,63,39.49458992,1.732050808
1,13.5,486,63,24.32913518,2.309401077
1,16,255,63,10.21438681,1.732050808
1,20.5,288,63,0,1.414213562
1,11,396,63,5.170087702,2.828427125
1,11,459,63,1.215129546,2.886751346
1,9.75,362,63,1.579783597,2
1,13.5,532,63,0,2
1,12.1666,742,63,0.486582704,2.449489743
1,12.8,1145,63,6.597002734,3.16227766
1,11.4,565,63,0,2.236067977
1,10.8,209,63,1.579783597,2.5
1,20.667,72,63,5.5341668,1.732050808
1,9,37.5,38,3.892661628,1
1,7.6667,135.3,38,6.105842959,1.732050808
1,11,114,38,3.633502272,1.732050808
1,11.16667,178,63,5.864007388,1.732050808
1,14.6667,125,63,0,1.732050808
1,0,0,0,0,0
1,12.333,165,38,13.52098211,1.732050808
1,11,155,38,12.5344661,1.732050808
1,11.6667,110,38,9.468367866,1.732050808
1,9.6667,143,38,16.96084126,1.732050808
1,21.333,340,38,3.394023041,1.732050808
1,25,310,38,3.303955255,1.414213562
1,25,220,38,3.303955255,1.414213562
1,19.6667,455,38,3.436559216,1.732050808
1,28.333,350,38,2.189751149,1.732050808
1,25,300,63,3.303955255,1.414213562
1,20,200,38,3.303955255,1.414213562
1,19,220,12.5,3.555720219,1.414213562
1,18,100,12.5,4.250337019,1
1,15,400,38,1.452001078,1.414213562
1,19,290,63,2.843610474,0
1,19.5,300,38,3.349872173,1.414213562
1,18,390,38,3.04058193,1.732050808
1,0,0,0,4.754808901,0
1,20,240,38,3.394023041,1.414213562
1,25,250,38,3.592967163,1.414213562
1,20,240,38,3.394023041,1.414213562
1,22.5,260,38,3.394023041,1.414213562
1,11,170,38,4.835085392,1.414213562
1,15.5,200,38,2.325956756,1.414213562
1,20,200,38,3.764142386,1
1,17,340,38,3.764142386,1.414213562
1,19,300,63,4.613974973,1.414213562
1,16,340,38,2.250541171,1.414213562
1,21,310,38,3.303955255,1.732050808
1,19.33,460,38,3.098650361,1.732050808
1,25,340,38,2.843610474,1.414213562
1,19.33,520,38,3.303955255,1.732050808
1,20,120,12.5,3.349872173,1
1,16,280,38,3.394023041,1.414213562
1,12.5,230,38,2.843610474,1.414213562
1,16.333,300,63,2.356612555,1.732050808
1,16.333,300,63,3.394023041,1.732050808
1,11,350,38,3.394023041,1.414213562
1,17.5,200,38,0,1.414213562
1,24.333,480,38,3.303955255,1.732050808
1,17.5,200,38,2.495963437,1.414213562
1,18,180,38,3.303955255,1.414213562
1,20,230,38,2.843610474,1.414213562
1,10.33,220.25,38,2.843610474,1.732050808
1,17.5,270,38,6.107608241,1.414213562
1,10,110,63,0,1
1,0,0,0,3.592967163,0
1,12.5,190,63,5.507061362,1.414213562
1,10.5,260,38,3.394023041,1.732050808
1,17.5,260,38,3.303955255,1.414213562
1,14.333,410,38,3.394023041,1.732050808
1,11,190,38,3.764142386,1.414213562
1,24,320,38,3.303955255,1.414213562
1,14.6777,300,63,3.592967163,1.732050808
1,17.6667,300,38,3.394023041,1.732050808
1,10.667,390,38,3.394023041,1.732050808
1,11.6667,320,38,2.979085037,1.732050808
1,17.5,280,38,3.865721417,1.414213562
1,13.333,300,38,3.153707145,1.732050808
1,16,270,63,3.153707145,1.732050808
1,14.6667,480,63,3.303955255,1.732050808
1,13,320,38,3.394023041,1.732050808
1,17.6667,480,63,3.865721417,1.732050808
1,21.5,320,38,2.294074713,1.414213562
1,20.5,280,38,3.303955255,1.414213562
1,21.333,297,38,3.436559216,1.732050808
1,23,230,38,3.865721417,1.414213562
1,10,221,38,3.394023041,1.732050808
1,17.6667,381,38,4.288426087,1.732050808
1,21.6667,590,38,2.068503695,1.732050808
1,0,0,0,5.118498853,0
1,19.333,548,38,3.303955255,1.732050808
1,15,320,38,2.686158551,1.414213562
1,25,200,38,3.394023041,1.414213562
1,16,180,12.5,3.20609454,1
1,19.6667,365,38,3.098650361,1.732050808
1,27.5,370,38,3.731707544,1.414213562
1,16.5,180,38,3.349872173,1.414213562
1,19,430,38,4.613974973,1.732050808
1,5.125,525,38,6.109241474,5.656854249
1,4.5,379,12.5,5.82986338,2.828427125
1,7.5,507,63,3.914169233,6
1,0,0,0,6.341122217,0
1,8,280,12.5,7.011001322,2.121320344
1,4.6667,653,38,6.109241474,6
1,11.5,806,38,6.775456295,5.656854249
1,8.45,787,38,6.109241474,7.778174593
1,15,350,63,0,1
1,6.5,230,63,0,1.414213562
1,20,950,63,5.118498853,2
1,19.5,490,63,6.109241474,1.414213562
1,10,310,63,0,1.414213562
1,13.33,560,63,3.79578177,1.732050808
1,10.667,450,63,0,1.732050808
1,10.33,450,63,4.673049689,1.732050808
1,10.38,355,63,6.655392028,7.505553499
1,13.4,229,63,6.387212965,7.071067812
1,7,71,50.5,3.119493787,2.828427125
1,12,121,63,0,2.828427125
1,7.91,132,37.75,8.459904431,3
1,7.625,145,38,8.459904431,5.656854249
1,6.75,60,12.5,0,2.828427125
1,8.2,87,47.375,7.427620221,5
1,7,90,38,0,2
1,7,226,38,8.459904431,5.773502692
1,1.75,70,63,9.643547039,2
1,11,26,12.5,8.305154952,1
1,5.6667,68,38,9.452292883,2.121320344
1,5.333,285,33.8,8.746744886,4.242640687
1,4.75,121,38,4.287279627,2.828427125
1,6.16,75,33.8,8.305154952,3.464101615
1,4.5,15.75,44.3,8.305154952,2.309401077
1,6.33,38,47.5,8.975082509,3
1,8.75,70,50.5,8.305154952,2.828427125
1,7.2,98,32.9,8.975082509,2.886751346
1,6.4,65,40.4,8.975082509,5
1,10.4,109,53,0,5
1,9,154,38,8.975082509,4.949747468
1,11,44,63,4.754808901,2
1,7.667,150,54.6,5.138351115,4.242640687
1,13.667,173,63,7.582379693,3
1,8.75,144,63,0,2.828427125
1,26.25,444,38,3.815005958,2.828427125
1,30,210,38,50.42499311,2.121320344
1,31.33,345,12.5,5.82986338,2.121320344
1,24,448,63,5.67515527,2.828427125
1,29.75,397,38,6.773644958,2
1,25.5,650,38,5.888524965,3
1,23,479,63,5.626253622,2.236067977
1,23.5,82,12.5,3.592967163,2
1,18,38,12.5,5.160142368,18
1,29,210,12.5,4.83379279,2
1,25,158,38,3.664252678,2.121320344
1,26.67,159,12.5,4.613974973,3
1,27,49,12.5,4.358497214,1
1,25,113,12.5,5.22276279,2
1,19,38,12.5,2.956947821,1
1,19,113,38,1.974438023,2.828427125
1,24.83,397,38,4.358497214,4.242640687
1,25.25,341,38,4.93357619,2.828427125
