,x,number,tree,nest_height,roof,species,bird,AF,habitat,near.magpie,near.other,near.amurfalcon,near.empty,near.water,near.field,near.wetland,near.soil,near.street,near.settlement,prop.field,prop.forest,prop.reed,prop.shrubs,prop.soil,prop.steppe,prop.water,prop.wetland,prop.willowshrubs,slope_percent,slope,aspect,x,number,species,bird,AF,habitat,fire_at_nest,prop.less_burned,prop.often_burned,x,number,species,bird,AF,habitat,TA,NP,PD,LPI,TE,ED,LSI,AREA_MN,AREA_AM,AREA_MD,SHAPE_MN,SHAPE_AM,FRAC_MN,FRAC_AM,PARA_MN,PARA_AM,CIRCLE_MN,CIRCLE_AM,CONTIG_MN,CONTIG_AM,PAFRAC,PROX_MN,ENN_MN,CONTAG,PLADJ,IJI,COHESION,DIVISION,MESH,SPLIT,PR,PRD,SHDI,SIDI,SHEI,SIEI,AI
1,1,MN105,Betula,6.5,yes,AF,af,1,Forest,931.02,931.02,275.56,1389.01,75.11,230.82,67.82,147.44,31.59,1034.7,0.96,5.68,4.35,1.33,6.97,17.35,1.98,43.69,17.69,7.3,4.18,331.6,1,MN105,AF,af,1,Forest,4,25.99,0,1,MN105,AF,af,1,Forest,1350.25,2333,172.7828,21.8478,403625,298.9261,28.6854,0.5788,85.5459,0.0625,1.1968,6.4621,1.0364,1.2307,1407.4595,611.2201,0.2646,0.6771,0.1079,0.6024,1.5625,40.062,76.3129,35.8654,61.7987,71.7625,94.7898,0.9366,85.5459,15.7839,9,0.6665,1.6396,0.7381,0.7462,0.8304,62.8153
2,2,MN103,Betula,6.9,yes,AF,af,1,Forest,661.05,661.05,275.56,1122.35,19.55,506.16,16.03,141.75,22.67,945.8,0.89,5.56,4.21,1.72,8.17,16.76,2.69,43.06,16.94,6.6,3.78,347,2,MN103,AF,af,1,Forest,4,30.36,0,2,MN103,AF,af,1,Forest,1437.875,2443,169.9035,21.8639,418850,291.2979,28.7566,0.5886,92.566,0.0625,1.1936,6.4208,1.0361,1.226,1395.8657,595.2882,0.2685,0.6844,0.1133,0.6113,1.55,41.3118,75.4269,35.461,62.7945,72.4282,94.8841,0.9356,92.566,15.5335,9,0.6259,1.6748,0.7461,0.7622,0.8393,63.8187
3,3,MN118,Quercus,7.2,yes,AF,af,1,Willowshrubs,258.45,258.45,571.48,109.54,137.02,112.88,135.94,232.5,288.86,4301.46,5.2,4.62,3.23,2.4,9.96,15.45,2.4,33.79,22.95,7.2,4.12,74,3,MN118,AF,af,1,Willowshrubs,5,2.25,0,3,MN118,AF,af,1,Willowshrubs,1274.9375,2524,197.9705,9.0936,427025,334.938,31.0507,0.5051,27.6351,0.0625,1.2242,4.27,1.0407,1.1973,1387.5063,683.21,0.2927,0.7029,0.1191,0.555,1.5646,19.7769,73.113,29.9334,57.2994,74.5697,90.7959,0.9783,27.6351,46.1347,9,0.7059,1.8054,0.7912,0.8217,0.8901,58.3543
4,4,MN67,Prunus,6.2,yes,AF,af,1,Forest,22.37,22.37,407.88,543.38,23.1,366.33,21.53,22.84,9.9,4874.1,6.16,5.41,3.02,2.73,10.52,13.87,2.34,32.04,23.91,11,6.32,243.4,4,MN67,AF,af,1,Forest,2,2.26,0,4,MN67,AF,af,1,Forest,1364.125,2796,204.9666,5.5255,460450,337.5424,32.3007,0.4879,21.816,0.0625,1.2218,3.8346,1.0402,1.1904,1393.6956,687.9868,0.2837,0.7073,0.1166,0.5514,1.56,17.3942,73.0346,28.5786,57.0008,76.7881,89.5753,0.984,21.816,62.5286,9,0.6598,1.8393,0.801,0.8371,0.9011,58.027
5,5,MN121,dead,6.8,yes,AF,af,1,Reed,426.52,426.52,158.81,380.11,190.51,224.27,233.11,339.15,422.04,4579.15,5.43,5.1,2.88,2.77,9.39,14.17,2.15,32.52,25.59,4,2.33,75.9,5,MN121,AF,af,1,Reed,6,2.26,0,5,MN121,AF,af,1,Reed,1516.0625,3024,199.4641,9.5313,513700,338.8383,34.0994,0.5013,31.5632,0.0625,1.2196,4.6404,1.0402,1.2029,1389.8792,689.7143,0.2869,0.7117,0.1181,0.5508,1.563,23.7344,73.1932,29.4301,56.8929,75.0062,91.432,0.9792,31.5632,48.0326,9,0.5936,1.8104,0.7928,0.824,0.8919,57.8582
6,6,MN81,Ulmus,7.2,yes,AF,af,1,Forest,162.1,162.1,309.89,300.9,223.85,673.4,117.23,624.94,23.48,1256.52,0.34,4.93,3.97,1.68,8.96,14.94,3.14,44.05,17.99,8.5,4.88,280,6,MN81,AF,af,1,Forest,3,38.96,0,6,MN81,AF,af,1,Forest,1636.8125,2546,155.5462,22.1276,455700,278.407,29.2778,0.6429,111.5731,0.0625,1.1991,6.6999,1.0366,1.2336,1403.5092,568.1775,0.2675,0.7017,0.1093,0.6297,1.5615,56.8674,76.1923,37.4656,64.4889,70.237,95.3445,0.9318,111.5731,14.6703,9,0.5498,1.6412,0.7379,0.7469,0.8301,65.4557
7,7,MN122,Quercus,6.4,yes,AF,af,1,Forest,62.55,62.55,407.88,202.24,20.98,238.38,66.34,0.95,47.96,5188.01,6.97,5.44,2.85,2.86,9.49,13.49,2.34,32.18,24.38,9.9,5.65,233.1,7,MN122,AF,af,1,Forest,5,2.37,0.22,7,MN122,AF,af,1,Forest,1473.375,3078,208.9081,6.5411,503575,341.7833,33.8782,0.4787,24.4875,0.0625,1.2175,4.1423,1.0408,1.1944,1393.2586,695.8853,0.288,0.7097,0.1178,0.5472,1.555,18.4928,73.413,28.4037,56.5072,76.912,90.2599,0.9834,24.4875,60.1686,9,0.6108,1.8348,0.7991,0.835,0.899,57.4813
8,8,MN124,Salix,6.1,yes,AF,af,1,Wetland,496.85,496.85,74.67,236.79,81.73,103.9,95.47,199.81,464.09,4652.56,5.74,5.12,2.85,2.8,9.01,13.65,2.05,32.77,26.03,3.5,2,45,8,MN124,AF,af,1,Wetland,7,2.26,0,8,MN124,AF,af,1,Wetland,1583.8125,3202,202.1704,7.2333,535425,338.0609,34.7288,0.4946,30.1966,0.0625,1.217,4.6205,1.0402,1.202,1398.0983,687.8024,0.2862,0.6992,0.1152,0.5527,1.5572,22.9642,72.9626,29.598,57.0124,75.0276,91.4123,0.9809,30.1966,52.45,9,0.5682,1.8044,0.7909,0.8212,0.8898,57.9538
9,9,MN123,Betula,6.9,yes,AF,af,1,Reed,517.48,517.48,29.16,163.75,24.73,58.48,28.01,129.3,458.66,4710.97,6.05,5.12,2.85,2.85,8.89,13.3,2.02,32.89,26.03,6.4,3.69,4.3,9,MN123,AF,af,1,Reed,7,2.26,0,9,MN123,AF,af,1,Reed,1605.25,3204,199.5951,10.3956,542600,338.0159,34.9657,0.501,34.8949,0.0625,1.2188,4.7462,1.0403,1.2038,1391.651,687.6188,0.2863,0.7141,0.1175,0.5524,1.5613,25.9154,73.7945,29.4254,57.0238,75.3173,91.6618,0.9783,34.8949,46.0025,9,0.5607,1.8105,0.792,0.824,0.891,57.9623
10,10,MN133,Populus,13.5,yes,AF,af,1,Soil,1383.94,1383.94,1383.36,1392.27,3.12,798.26,517.13,0,22.72,526.01,0.09,6.4,5.16,1.84,13.58,11.14,4.08,42.44,15.28,2.1,1.2,45,10,MN133,AF,af,1,Soil,0,41.32,0,10,MN133,AF,af,1,Soil,1102.5625,1868,169.4235,29.8793,312400,283.3399,24.6278,0.5902,118.5737,0.0625,1.204,6.5948,1.0389,1.2202,1396.7629,580.4206,0.2816,0.6711,0.1134,0.62,1.5632,40.7008,74.0913,35.3723,63.7237,73.9078,95.2711,0.8925,118.5737,9.2985,9,0.8163,1.7021,0.7561,0.7746,0.8507,64.8985
